64, -45, 0
62, -45, 2
63, -45, 4
63, -45, 6
64, -45, 8
64, -45, 10
66, -45, 12
66, -45, 14
67, -45, 16
67, -45, 18
69, -45, 20
69, -45, 22
72, -45, 24
72, -45, 26
73, -45, 28
76, -45, 30
76, -45, 32
77, -45, 34
80, -45, 36
80, -45, 38
82, -45, 40
84, -45, 42
87, -45, 44

63, -43, 0
63, -43, 2
63, -43, 4
64, -43, 6
62, -43, 8
65, -43, 10
66, -43, 12
67, -43, 14
67, -43, 16
67, -43, 18
67, -43, 20
70, -43, 22
71, -43, 24
73, -43, 26
75, -43, 28
74, -43, 30
75, -43, 32
78, -43, 34
80, -43, 36
82, -43, 38
81, -43, 40
82, -43, 42
83, -43, 44

64, -41, 0
64, -41, 2
66, -41, 4
65, -41, 6
65, -41, 8
67, -41, 10
67, -41, 12
68, -41, 14
69, -41, 16
69, -41, 18
69, -41, 20
71, -41, 22
71, -41, 24
73, -41, 26
75, -41, 28
74, -41, 30
76, -41, 32
77, -41, 34
79, -41, 36
79, -41, 38
81, -41, 40
81, -41, 42
83, -41, 44

66, -39, 0
66, -39, 2
65, -39, 4
66, -39, 6
66, -39, 8
66, -39, 10
67, -39, 12
69, -39, 14
69, -39, 16
69, -39, 18
70, -39, 20
70, -39, 22
71, -39, 24
72, -39, 26
75, -39, 28
75, -39, 30
75, -39, 32
76, -39, 34
77, -39, 36
79, -39, 38
81, -39, 40
81, -39, 42
83, -39, 44

68, -37, 0
68, -37, 2
68, -37, 4
69, -37, 6
69, -37, 8
68, -37, 10
70, -37, 12
70, -37, 14
70, -37, 16
72, -37, 18
71, -37, 20
73, -37, 22
74, -37, 24
73, -37, 26
75, -37, 28
77, -37, 30
78, -37, 32
76, -37, 34
79, -37, 36
81, -37, 38
82, -37, 40
84, -37, 42
83, -37, 44

69, -35, 0
69, -35, 2
69, -35, 4
69, -35, 6
69, -35, 8
69, -35, 10
69, -35, 12
71, -35, 14
72, -35, 16
71, -35, 18
73, -35, 20
73, -35, 22
75, -35, 24
75, -35, 26
76, -35, 28
79, -35, 30
78, -35, 32
79, -35, 34
81, -35, 36
82, -35, 38
82, -35, 40
86, -35, 42
84, -35, 44

70, -33, 0
71, -33, 2
71, -33, 4
72, -33, 6
72, -33, 8
73, -33, 10
73, -33, 12
73, -33, 14
75, -33, 16
74, -33, 18
74, -33, 20
75, -33, 22
78, -33, 24
77, -33, 26
78, -33, 28
81, -33, 30
82, -33, 32
81, -33, 34
83, -33, 36
84, -33, 38
83, -33, 40
86, -33, 42
86, -33, 44

78, -31, 0
74, -31, 2
74, -31, 4
73, -31, 6
77, -31, 8
75, -31, 10
75, -31, 12
76, -31, 14
75, -31, 16
78, -31, 18
78, -31, 20
78, -31, 22
77, -31, 24
80, -31, 26
80, -31, 28
82, -31, 30
84, -31, 32
82, -31, 34
83, -31, 36
84, -31, 38
86, -31, 40
91, -31, 42
89, -31, 44

76, -29, 0
77, -29, 2
76, -29, 4
77, -29, 6
78, -29, 8
77, -29, 10
